Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
maluku utara - kepulauan sula,3,4.44,7.64,23.25,0.43,50.04,9.32,4.15,63.68,28.50,53.28,371,
maluku utara - halmahera timur,6,0.89,13.14,19.36,2.64,41.75,8.87,9.23,69.50,32.30,76.12,229,
maluku utara - pulau morotai,3,5.00,5.42,22.17,0.00,34.85,7.76,4.66,67.74,31.20,53.70,369,
maluku utara - pulau taliabu,2,5.00,6.88,33.33,22.19,46.95,8.68,2.88,62.53,23.70,47.87,386,
maluku utara - kota ternate,6,0.00,3.11,5.23,0.00,5.95,11.83,0.09,71.38,17.70,89.51,18,
maluku utara - kota tidore kepulauan,5,0.00,5.99,11.81,0.16,32.73,9.90,1.52,69.75,19.10,65.83,94,
papua - merauke,6,0.22,10.10,18.12,7.78,24.61,10.35,37.51,67.31,23.70,83.08,99,
papua - jayawijaya,1,5.00,35.80,43.56,5.35,79.07,5.89,3.81,60.26,46.70,27.68,404,
papua - jayapura,5,1.93,11.94,17.39,5.28,35.31,10.87,16.02,67.45,20.20,72.14,278,
papua - nabire,6,0.92,23.90,15.10,3.35,17.26,10.28,11.15,68.41,17.10,78.07,188,
papua - kepulauan yapen,5,1.18,26.15,23.94,16.85,39.04,10.22,3.31,69.39,31.10,69.70,300,
papua - biak numfor,2,5.00,24.48,12.94,0.01,35.91,10.47,1.85,68.50,27.30,49.81,383,
papua - puncak jaya,1,5.00,36.30,26.25,55.17,87.99,4.98,22.42,65.66,42.50,25.14,405,
papua - paniai,1,5.00,36.63,69.33,32.23,100.00,3.53,7.68,66.94,45.20,21.52,412,
papua - mimika,6,0.67,14.28,20.30,6.66,19.74,9.85,9.51,72.57,33.00,81.83,122,
papua - sarmi,4,3.05,13.76,33.53,4.27,36.02,10.76,36.07,66.74,25.60,61.25,343,
papua - keerom,5,1.29,15.77,27.98,10.91,31.77,8.95,23.12,67.04,25.90,71.92,279,
papua - pegunungan bintang,3,0.05,30.32,74.40,67.48,71.70,3.52,40.21,64.79,48.90,51.99,377,
papua - yahukimo,1,5.00,36.21,86.25,40.16,68.34,4.13,41.02,66.31,53.30,21.95,409,
papua - tolikara,1,5.00,31.31,85.96,0.87,97.19,2.29,13.00,66.08,50.10,23.00,407,
papua - waropen,4,1.68,30.22,11.91,10.54,57.07,9.32,35.22,66.68,22.20,61.63,341,
papua - boven digoel,1,5.00,20.04,27.69,15.30,47.06,9.58,36.08,60.64,37.20,40.55,397,
papua - mappi,2,2.97,26.04,35.30,11.97,75.22,7.90,44.85,65.66,29.60,47.85,387,
papua - asmat,1,2.52,24.87,65.27,58.56,88.08,6.87,43.13,58.90,54.50,36.69,398,
papua - supiori,1,5.00,37.70,61.51,26.68,75.14,10.26,1.63,66.36,40.20,30.41,403,
papua - mamberamo raya,1,5.00,30.73,73.64,9.08,95.48,9.17,97.71,58.29,29.00,22.51,408,
papua - mamberamo tengah,1,5.00,35.92,88.59,17.51,100.00,5.07,33.90,64.05,41.10,20.06,414,
papua - yalimo,1,5.00,31.68,71.76,33.36,100.00,6.18,24.03,65.72,38.20,23.95,406,
papua - lanny jaya,1,5.00,37.76,89.27,19.87,99.69,3.95,8.10,66.31,34.80,21.60,411,
papua - nduga,1,5.00,36.73,47.36,36.43,96.27,4.57,28.17,55.70,50.20,17.63,415,
papua - puncak,1,5.00,36.25,91.43,0.79,96.41,1.38,38.70,66.13,42.00,20.10,413,
papua - dogiyai,1,5.00,29.48,10.79,61.94,76.03,4.08,13.08,66.13,35.10,31.23,402,
papua - intan jaya,1,5.00,42.03,72.69,72.30,100.00,2.39,42.00,65.93,35.40,14.54,416,
papua - deiyai,1,5.00,40.31,77.43,23.48,99.34,1.82,18.73,65.66,13.40,21.93,410,
papua - kota jayapura,6,0.00,14.96,7.07,0.14,10.26,11.62,0.18,71.40,27.20,74.18,84,
papua barat - sorong,2,4.53,27.58,23.45,1.54,50.89,9.32,7.42,66.55,23.80,46.99,391,
papua barat - manokwari,4,2.20,19.90,12.35,2.14,37.27,9.25,2.05,69.18,36.60,66.85,318,
papua barat - fakfak,2,5.00,22.06,18.81,0.66,51.17,10.59,9.80,68.75,29.00,47.32,388,
papua barat - sorong selatan,2,3.94,18.48,17.23,20.80,66.49,8.48,10.27,66.72,36.70,48.46,385,
papua barat - raja ampat,2,5.00,17.32,32.47,4.18,56.28,8.80,9.84,65.12,31.10,44.12,393,
papua barat - teluk bintuni,1,5.00,29.73,29.20,0.15,44.93,9.59,27.02,61.37,22.80,40.88,396,
papua barat - teluk wondama,1,5.00,30.06,40.73,14.56,78.13,8.34,11.51,60.57,26.10,32.93,399,
papua barat - kaimana,2,5.00,15.29,22.37,12.46,44.43,10.07,24.69,65.27,29.20,47.12,389,
papua barat - tambrauw,1,5.00,32.45,47.33,0.16,53.36,8.53,55.35,60.68,39.10,32.88,400,
papua barat - maybrat,2,5.00,31.14,4.13,0.17,65.54,10.64,15.66,65.53,27.30,41.60,395,
papua barat - manokwari selatan,4,1.42,28.55,30.73,3.45,34.88,8.47,6.66,67.84,27.20,67.12,316,
papua barat - pegunungan arfak,1,5.00,33.71,16.75,35.95,60.80,6.08,22.75,67.50,51.50,32.87,401,
papua barat - kota sorong,6,0.00,11.12,9.92,0.37,13.46,11.81,0.34,70.76,20.60,76.01,79,
