OBJECTID,NAMOBJ,FCODE,REMARK,METADATA,SRS_ID,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKK,WIADPR,WIADKD,SHAPE_Length,SHAPE_Area
325,Kota Adm. Jakarta Barat,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.73","31",125.00016390473,5, , ,Kota Adm. Jakarta Barat,DKI Jakarta, , , ,0,0.607655013726079,0.0102126244854458
326,Kota Adm. Jakarta Pusat,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.71","31",47.5648333185038,5, , ,Kota Adm. Jakarta Pusat,DKI Jakarta, , , ,0,0.384853777007566,0.00388620336889781
327,Kota Adm. Jakarta Selatan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.74","31",144.941694929248,5, , ,Kota Adm. Jakarta Selatan,DKI Jakarta, , , ,0,0.83697759896514,0.011844219220842
328,Kota Adm. Jakarta Timur,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.75","31",185.537786142081,5, , ,Kota Adm. Jakarta Timur,DKI Jakarta, , , ,0,1.04259215608595,0.0151611182006004
329,Kota Adm. Jakarta Utara,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"31.72","31",147.211715039306,5, , ,Kota Adm. Jakarta Utara,DKI Jakarta, , , ,0,1.46226696676385,0.0120264901862053
330,Kota Bandung,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.73","32",166.593063202007,5, , ,Kota Bandung,Jawa Barat, , , ,0,0.817191515114581,0.013630814988925
331,Kota Banjar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.79","32",131.005486172131,5, , ,Kota Banjar,Jawa Barat, ,Ciamis, ,0,0.702028684353255,0.0107294640975494
332,Kota Batu,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.79","35",194.170005237673,5, , ,Kota Batu,Jawa Timur, ,Malang, ,0,0.692482821502315,0.0159192250590223
333,Kota Bekasi,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.75","32",213.03587074127,5, , ,Kota Bekasi,Jawa Barat, ,Bekasi, ,0,1.25741196597019,0.0174089531149984
334,Kota Bima,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"52.72","52",207.887928081579,5, , ,Kota Bima,Nusa Tenggara Barat, ,Bima, ,0,0.902586154561309,0.0170696295054991
335,Kota Blitar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.72","35",33.2031576393668,5, , ,Kota Blitar,Jawa Timur, , , ,0,0.357803953960318,0.0027238775267379
336,Kota Bogor,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.71","32",111.365717104333,5, , ,Kota Bogor,Jawa Barat, , , ,0,0.708177487700608,0.00910608468453459
337,Kota Cilegon,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"36.72","36",162.514426466474,5, , ,Kota Cilegon,Banten, ,Serang, ,0,1.0887008890871,0.013273577621907
338,Kota Cimahi,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.77","32",42.4320027932072,5, , ,Kota Cimahi,Jawa Barat, ,Bandung, ,0,0.402833813324821,0.00347159465400175
339,Kota Cirebon,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.74","32",39.4656673528645,5, , ,Kota Cirebon,Jawa Barat, , , ,0,0.517185700739962,0.00322795461531204
340,Kota Denpasar,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"51.71","51",125.871646422045,5, , ,Kota Denpasar,Bali, , , ,0,0.82276311429365,0.0103409389627303
341,Kota Depok,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.76","32",199.906222227013,5, , ,Kota Depok,Jawa Barat, ,Bogor, ,0,1.12415926839011,0.0163395724824578
342,Kota Kediri,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.71","35",67.2322765157943,5, , ,Kota Kediri,Jawa Timur, , , ,0,0.575350512598607,0.0055119973705044
343,Kota Kupang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"53.71","53",159.334041005849,5, , ,Kota Kupang,Nusa Tenggara Timur, ,Kupang, ,0,0.949087585396705,0.0131469663874992
344,Kota Madiun,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.77","35",36.1259849545501,5, , ,Kota Madiun,Jawa Timur, , , ,0,0.449676411510427,0.00296042218695122
345,Kota Magelang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.71","33",18.5582585877449,5, , ,Kota Magelang,Jawa Tengah, , , ,0,0.270626185693817,0.00152027287884719
346,Kota Malang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.73","35",111.076528648991,5, , ,Kota Malang,Jawa Timur, , , ,0,0.706251480440103,0.0091098068325398
347,Kota Mataram,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"52.71","52",60.4240937389846,5, , ,Kota Mataram,Nusa Tenggara Barat, ,Lombok Barat, ,0,0.346948764206137,0.00496311726121854
348,Kota Mojokerto,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.76","35",20.2171727893663,5, , ,Kota Mojokerto,Jawa Timur, , , ,0,0.257782457194944,0.00165615024766691
349,Kota Pasuruan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.75","35",38.9956880652248,5, , ,Kota Pasuruan,Jawa Timur, , , ,0,0.390045977863861,0.00319573273336
350,Kota Pekalongan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.75","33",46.1998115684105,5, , ,Kota Pekalongan,Jawa Tengah, , , ,0,0.415769678265004,0.00377991467901585
351,Kota Probolinggo,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.74","35",54.6755621680172,5, , ,Kota Probolinggo,Jawa Timur, , , ,0,0.556045191533388,0.00448199428246882
352,Kota Salatiga,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.73","33",54.9831579430996,5, , ,Kota Salatiga,Jawa Tengah, , , ,0,0.469520571139647,0.00450278051189901
353,Kota Semarang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.74","33",370.002759280694,5, , ,Kota Semarang,Jawa Tengah, , , ,0,1.52926799085261,0.0302805935835118
354,Kota Serang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"36.73","36",265.786729243262,5, , ,Kota Serang,Banten, ,Serang, ,0,0.906414327160096,0.0217133522949542
355,Kota Sukabumi,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.72","32",48.3139498983628,5, , ,Kota Sukabumi,Jawa Barat, , , ,0,0.421527483889491,0.00395326562589456
356,Kota Surabaya,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.78","35",335.92479497705,5, , ,Kota Surabaya,Jawa Timur, , , ,0,1.33915368634533,0.0275063694268791
357,Kota Surakarta,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.72","33",46.7183979053428,5, , ,Kota Surakarta,Jawa Tengah, , , ,0,0.360439246026308,0.00382781973781869
358,Kota Tangerang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"36.71","36",178.347486782222,5, , ,Kota Tangerang,Banten, ,Tangerang, ,0,0.866128614853832,0.0145716617669172
359,Kota Tangerang Selatan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"36.74","36",164.859542537818,5, , ,Kota Tangerang Selatan,Banten, ,Tangerang, ,0,0.664710625654375,0.0134725944005548
360,Kota Tasikmalaya,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.78","32",183.93872529272,5, , ,Kota Tasikmalaya,Jawa Barat, ,Tasikmalaya, ,0,0.775735884696736,0.0150642004560418
361,Kota Tegal,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.76","33",39.074614447729,5, , ,Kota Tegal,Jawa Tengah, , , ,0,0.313271437131275,0.00319679581861802
362,Kota Yogyakarta,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"34.71","34",32.8190625255292,5, , ,Kota Yogyakarta,Daerah Istimewa Yogyakarta, , , ,0,0.349438640016374,0.00269050602101674
363,Kudus,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"33.19","33",447.444997404516,4, , ,Kudus,Jawa Tengah, , , ,0,1.32326467772073,0.0366007910111263
364,Kulon Progo,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"34.01","34",577.223811493454,4, , ,Kulon Progo,Daerah Istimewa Yogyakarta, , , ,0,1.31434324712093,0.0473225484411165
365,Kuningan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"32.08","32",1192.89668281918,4, , ,Kuningan,Jawa Barat, , , ,0,1.88766245252318,0.0976211730698111
366,Kupang,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"53.01","53",5136.5100874175,4, , ,Kupang,Nusa Tenggara Timur, , , ,0,6.26740520891893,0.423459507198317
367,Lamongan,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"35.24","35",1752.71031394533,4, , ,Lamongan,Jawa Timur, , , ,0,3.13473332819252,0.143472650459646
368,Lebak,BA03050040, ,TASWIL5000020230907KABKOTA,"4326", , , , ,, ,"36.02","36",3312.17997874213,4, , ,Lebak,Banten, , , ,0,3.52397909076791,0.270855305014802
