Kabupaten/Kota,Provinsi,KATEGORI,NCPR,ENERGI,PROHE,CBPK,MISKIN,CVHARGA,POU,RLSP,TNPAIR,TNPLISTRIK,NAKES,AHH,AMANPANGN,PPH,STUNTING,BANSOS,IKP
Banggai,Sulawesi Tengah,Sangat Tahan,0.38,99.7,82.4,16.6,6.9,5.3,10.0,8.83,30.0,0.28,3.99,71.02,38.1,82.8,29.1,501438000000.0,69.9
Poso,Sulawesi Tengah,Sangat Tahan,0.47,105.8,79.3,4.0,15.2,7.7,7.4,9.53,15.7,0.2,5.38,71.33,40.1,87.5,26.5,501438000000.0,68.54
Donggala,Sulawesi Tengah,Tahan,0.92,120.0,97.0,0.2,16.3,7.7,11.4,8.2,39.7,3.42,4.74,67.86,37.8,84.9,34.1,501438000000.0,66.55
Toli Toli,Sulawesi Tengah,Tahan,0.77,82.6,71.5,13.1,12.9,3.9,13.7,8.87,31.2,1.44,2.6,66.78,46.7,68.9,29.0,501438000000.0,63.99
Buol,Sulawesi Tengah,Tahan,1.23,85.4,66.5,42.0,13.4,5.5,8.5,9.58,17.5,0.59,4.27,69.73,33.2,73.5,30.0,501438000000.0,66.36
Morowali,Sulawesi Tengah,Sangat Tahan,1.11,107.4,99.8,0.0,12.3,7.0,7.9,8.86,15.0,0.0,2.97,69.37,45.0,86.8,26.0,501438000000.0,70.58
Banggai Kepulauan,Sulawesi Tengah,Sangat Tahan,3.72,95.3,95.8,100.0,12.9,5.9,16.6,8.79,14.2,2.19,2.79,66.87,40.2,77.5,27.7,501438000000.0,72.14
Parigi Moutong,Sulawesi Tengah,Tahan,0.34,88.5,59.8,14.0,14.9,5.4,9.9,8.34,30.9,0.83,3.29,64.62,36.6,79.8,28.5,501438000000.0,63.87
Tojo Una Una,Sulawesi Tengah,Tahan,1.91,89.3,69.3,2.4,16.7,5.5,10.8,8.93,13.3,2.08,4.41,66.41,36.7,76.4,21.3,501438000000.0,63.59
Sigi,Sulawesi Tengah,Tahan,0.49,98.5,67.1,26.9,12.8,7.0,14.1,9.39,43.6,0.49,4.2,70.35,46.0,80.1,26.4,501438000000.0,65.81
Banggai Laut,Sulawesi Tengah,Tahan,10.0,101.8,90.1,0.0,14.2,3.7,13.4,8.61,25.1,4.72,0.96,66.08,43.0,74.7,25.6,501438000000.0,59.02
Morowali Utara,Sulawesi Tengah,Tahan,0.67,103.2,79.7,0.0,12.9,8.0,7.1,8.88,26.7,0.37,8.65,69.97,36.1,84.4,24.7,501438000000.0,66.56
Kota Palu,Sulawesi Tengah,Sangat Tahan,10.0,96.3,82.7,86.9,6.6,6.1,6.0,11.43,13.5,0.0,0.1,71.45,42.8,82.0,22.1,501438000000.0,69.42
Kepulauan Selayar,Sulawesi Selatan,Tahan,2.4,107.3,92.5,4.0,12.3,7.2,8.1,8.62,14.3,0.12,0.77,69.04,11.9,79.8,31.3,1443687000000.0,65.44
Bulukumba,Sulawesi Selatan,Sangat Tahan,0.36,103.6,92.9,99.5,7.2,6.6,10.7,8.38,22.5,1.76,0.51,68.84,82.3,85.7,33.7,1443687000000.0,79.91
Bantaeng,Sulawesi Selatan,Sangat Tahan,0.48,102.2,69.0,43.0,9.2,7.5,9.0,7.53,12.4,0.0,0.28,71.11,87.4,84.7,15.8,1443687000000.0,74.47
Jeneponto,Sulawesi Selatan,Sangat Tahan,0.44,107.6,93.2,53.6,13.1,7.9,11.4,7.75,11.1,0.27,0.39,66.99,76.2,87.5,36.3,1443687000000.0,74.56
Takalar,Sulawesi Selatan,Sangat Tahan,0.43,110.2,118.7,0.0,8.3,6.1,9.7,8.0,10.4,0.0,0.27,67.9,3.6,93.5,35.4,1443687000000.0,71.92
Gowa,Sulawesi Selatan,Sangat Tahan,0.32,104.6,87.2,25.1,7.4,6.8,8.4,8.84,20.3,0.0,0.74,70.89,27.7,85.2,21.1,1443687000000.0,71.97
Sinjai,Sulawesi Selatan,Sangat Tahan,0.47,100.7,104.2,49.5,8.6,7.9,8.6,8.19,22.6,0.45,0.48,67.92,73.7,88.8,33.5,1443687000000.0,75.41
Bone,Sulawesi Selatan,Tahan,0.17,90.5,76.6,2.9,10.5,6.3,12.6,7.85,22.1,0.65,1.26,67.85,76.2,72.2,26.0,1443687000000.0,66.99
Maros,Sulawesi Selatan,Sangat Tahan,0.39,106.5,97.9,0.0,9.7,6.8,7.1,8.15,21.5,0.14,0.74,69.45,81.0,88.3,34.7,1443687000000.0,72.56
Pangkajene Dan Kepulauan,Sulawesi Selatan,Sangat Tahan,0.6,120.0,120.0,8.9,13.4,6.7,4.2,8.87,24.2,1.87,0.4,67.36,80.5,92.5,30.0,1443687000000.0,77.21
Barru,Sulawesi Selatan,Sangat Tahan,0.3,98.9,85.1,4.9,8.5,7.1,8.2,8.91,19.0,0.4,0.99,69.55,74.4,82.0,22.1,1443687000000.0,71.55
Soppeng,Sulawesi Selatan,Sangat Tahan,0.15,98.0,99.6,12.0,7.5,8.2,13.1,8.58,22.9,0.5,0.86,70.5,63.5,81.1,24.0,1443687000000.0,70.93
Wajo,Sulawesi Selatan,Sangat Tahan,0.11,98.6,98.0,13.4,6.7,7.1,6.7,7.98,20.0,0.01,1.47,68.1,71.9,85.4,27.4,1443687000000.0,73.38
Sidenreng Rappang,Sulawesi Selatan,Sangat Tahan,0.12,93.4,96.1,0.0,5.1,5.8,6.8,8.43,24.5,0.0,0.99,70.74,57.3,80.1,26.4,1443687000000.0,71.14
Pinrang,Sulawesi Selatan,Sangat Tahan,0.17,94.9,93.9,8.9,8.9,7.5,7.1,8.82,22.6,0.26,0.91,70.49,64.9,82.6,17.6,1443687000000.0,71.74
Enrekang,Sulawesi Selatan,Sangat Tahan,0.78,100.2,86.5,14.8,12.7,7.5,7.5,8.96,26.7,0.25,1.23,71.34,85.4,85.1,34.9,1443687000000.0,70.3
Luwu,Sulawesi Selatan,Sangat Tahan,0.24,100.3,96.7,10.6,12.7,6.2,7.6,9.19,34.2,0.28,1.23,71.0,21.8,88.0,32.1,1443687000000.0,68.53
Tana Toraja,Sulawesi Selatan,Tahan,0.79,101.1,73.7,0.0,12.5,5.9,9.7,8.63,48.8,0.29,1.49,73.99,30.0,88.3,36.9,1443687000000.0,63.92
Luwu Utara,Sulawesi Selatan,Sangat Tahan,0.27,110.8,116.4,33.2,12.7,6.7,5.4,8.52,20.7,0.05,4.12,69.36,45.2,92.9,15.5,1443687000000.0,77.58
Luwu Timur,Sulawesi Selatan,Sangat Tahan,0.26,102.9,100.6,19.0,6.9,9.8,6.8,8.83,20.8,0.12,3.09,71.19,31.5,90.4,26.0,1443687000000.0,71.34
Toraja Utara,Sulawesi Selatan,Tahan,0.62,96.2,75.7,0.0,12.1,6.3,6.2,9.03,40.1,0.71,0.84,73.83,30.6,81.1,28.7,1443687000000.0,64.71
Kota Makassar,Sulawesi Selatan,Sangat Tahan,10.0,94.7,100.0,74.3,5.1,6.6,5.2,11.33,2.4,0.0,0.01,72.6,73.1,85.2,25.6,1443687000000.0,72.58
Kota Parepare,Sulawesi Selatan,Sangat Tahan,4.44,98.2,101.1,47.7,5.3,7.6,6.4,10.82,6.5,0.63,0.07,71.78,88.4,85.7,26.7,1443687000000.0,75.7
Kota Palopo,Sulawesi Selatan,Sangat Tahan,2.26,90.8,95.8,27.4,7.7,6.4,4.4,11.29,3.7,0.04,0.14,71.39,33.6,85.5,25.5,1443687000000.0,72.54
Kolaka,Sulawesi Tenggara,Sangat Tahan,0.84,106.5,108.0,0.0,11.8,7.4,7.3,9.82,17.3,0.0,1.94,71.42,71.8,90.0,23.8,438249600000.0,73.95
Konawe,Sulawesi Tenggara,Sangat Tahan,0.33,99.5,95.0,0.0,13.0,7.0,8.4,9.64,17.4,0.0,2.07,70.44,24.3,85.5,27.8,438249600000.0,68.35
Muna,Sulawesi Tenggara,Tahan,2.06,90.1,73.2,0.0,14.1,11.1,14.0,8.24,27.6,0.34,0.83,70.56,8.6,70.3,29.2,438249600000.0,55.75
Buton,Sulawesi Tenggara,Tahan,2.03,95.9,84.3,32.3,13.8,6.0,15.7,8.81,17.9,0.23,1.64,68.56,21.6,78.3,37.2,438249600000.0,65.07
Konawe Selatan,Sulawesi Tenggara,Tahan,0.67,97.2,84.4,32.2,11.3,8.7,12.9,8.71,10.6,0.01,3.16,71.02,17.8,83.5,33.6,438249600000.0,67.06
Bombana,Sulawesi Tenggara,Tahan,0.43,97.3,88.8,0.0,10.7,6.0,9.6,8.39,5.7,0.28,3.27,69.34,20.8,75.5,30.4,438249600000.0,67.08
Wakatobi,Sulawesi Tenggara,Tahan,4.26,100.6,106.3,0.0,14.8,7.0,10.6,8.62,30.2,0.42,0.5,70.72,7.4,78.7,31.9,438249600000.0,61.3
Kolaka Utara,Sulawesi Tenggara,Tahan,3.48,99.3,87.4,0.0,13.6,9.5,7.5,9.22,9.2,0.06,2.58,70.47,25.6,84.1,31.8,438249600000.0,63.06
Konawe Utara,Sulawesi Tenggara,Tahan,1.46,95.5,91.7,0.0,13.5,6.3,5.6,9.54,12.5,0.13,4.72,69.68,2.5,76.8,24.7,438249600000.0,65.45
Buton Utara,Sulawesi Tenggara,Tahan,1.0,97.9,82.5,0.0,14.1,8.1,11.7,8.94,11.9,0.67,2.36,71.02,26.0,71.8,33.9,438249600000.0,62.92
Kolaka Timur,Sulawesi Tenggara,Sangat Tahan,0.28,94.6,74.5,80.2,14.0,5.7,11.2,8.83,19.3,0.13,4.62,73.01,65.7,82.2,31.3,438249600000.0,73.87
Konawe Kepulauan,Sulawesi Tenggara,Tahan,6.74,93.5,72.2,0.0,15.9,9.8,8.8,9.33,21.1,0.0,1.8,68.52,2.3,73.3,31.3,438249600000.0,53.46
Muna Barat,Sulawesi Tenggara,Tahan,0.9,89.6,73.1,0.0,14.0,8.1,14.9,8.58,34.1,3.42,1.15,70.46,0.0,72.1,24.4,438249600000.0,58.4
Buton Tengah,Sulawesi Tenggara,Tahan,2.86,84.7,81.2,0.0,15.4,5.8,17.6,6.88,11.0,0.12,1.07,67.9,18.8,72.3,36.8,438249600000.0,58.4
Buton Selatan,Sulawesi Tenggara,Tahan,1.19,95.4,86.7,0.0,14.8,7.6,11.7,7.89,48.9,0.24,0.56,67.86,35.5,73.0,37.1,438249600000.0,60.15
Kota Kendari,Sulawesi Tenggara,Sangat Tahan,10.0,97.7,116.7,0.0,4.6,7.3,6.4,12.0,3.8,0.0,0.08,74.07,82.9,91.1,25.7,438249600000.0,69.46
Kota Bau Bau,Sulawesi Tenggara,Tahan,3.0,81.5,73.8,0.0,7.5,4.3,10.8,11.1,5.7,0.09,0.24,71.51,75.1,68.2,29.7,438249600000.0,66.77
Gorontalo,Gorontalo,Tahan,0.47,95.4,93.0,0.0,17.5,6.1,15.0,8.63,16.4,1.45,1.06,68.09,65.2,79.6,34.7,270717600000.0,66.88
Boalemo,Gorontalo,Sangat Tahan,0.26,110.0,88.2,0.0,18.4,5.2,14.0,8.21,16.2,1.18,1.97,69.92,81.6,81.8,16.0,270717600000.0,71.7
Bone Bolango,Gorontalo,Tahan,0.88,86.4,75.4,0.0,15.5,7.4,16.0,8.91,11.2,0.42,1.84,69.24,72.9,91.0,27.1,270717600000.0,66.63
Pohuwato,Gorontalo,Sangat Tahan,0.28,93.1,67.6,43.0,17.6,5.2,18.7,8.28,3.4,0.09,4.97,64.95,64.2,67.3,18.4,270717600000.0,68.81
Gorontalo Utara,Gorontalo,Tahan,0.34,102.4,88.1,0.0,17.0,5.9,18.9,7.85,13.4,0.6,2.24,66.67,70.5,77.5,30.5,270717600000.0,67.42
Kota Gorontalo,Gorontalo,Sangat Tahan,3.1,86.8,84.6,0.0,5.6,5.5,10.8,10.58,3.5,0.0,0.04,73.25,55.4,74.8,23.6,270717600000.0,68.09
Pasangkayu,Sulawesi Barat,Tahan,7.96,102.3,77.7,6.4,4.8,9.8,5.5,8.51,17.1,0.43,4.1,67.33,19.1,79.3,27.9,251358000000.0,59.39
Mamuju,Sulawesi Barat,Sangat Tahan,0.87,95.6,79.8,83.3,7.6,6.7,7.3,8.31,25.0,1.09,2.25,68.66,20.7,73.5,32.8,251358000000.0,70.96
Mamasa,Sulawesi Barat,Tahan,0.63,93.3,65.8,0.0,14.3,5.8,14.9,8.58,70.5,0.94,2.49,71.45,19.6,68.8,37.6,251358000000.0,56.54
Polewali Mandar,Sulawesi Barat,Sangat Tahan,0.55,105.3,82.8,24.0,16.1,6.2,8.7,8.01,30.2,0.3,0.9,63.2,63.1,78.8,28.1,251358000000.0,69.16
Majene,Sulawesi Barat,Tahan,1.1,104.2,65.8,0.0,14.5,6.8,6.7,9.66,9.2,0.05,0.77,62.56,33.1,70.5,30.5,251358000000.0,64.56
Mamuju Tengah,Sulawesi Barat,Tahan,0.77,92.3,66.2,16.2,7.3,6.9,7.4,7.88,21.0,0.83,2.99,69.37,20.9,68.9,27.9,251358000000.0,64.04
Maluku Tengah,Maluku,Tahan,2.1,93.2,92.8,0.0,17.8,4.9,34.6,10.13,22.6,1.56,4.12,67.04,48.1,83.3,29.4,230592600000.0,63.35
Maluku Tenggara,Maluku,Rentan,10.0,85.8,74.0,0.0,21.8,7.8,31.7,9.74,33.0,1.14,1.27,65.78,0.0,72.5,34.0,230592600000.0,45.29
Kepulauan Tanimbar,Maluku,Rentan,10.0,78.1,63.4,0.0,24.5,5.5,34.0,10.35,24.5,1.18,4.93,63.99,0.0,68.0,25.1,230592600000.0,45.14
Buru,Maluku,Tahan,0.62,87.0,70.4,0.0,16.5,4.5,28.2,9.34,28.7,0.65,4.57,67.03,67.0,73.7,20.3,230592600000.0,63.45
Seram Bagian Timur,Maluku,Tahan,0.91,92.9,90.8,0.0,21.1,5.8,31.8,8.88,39.6,9.09,4.38,60.46,50.0,77.0,27.5,230592600000.0,60.92
Seram Bagian Barat,Maluku,Tahan,2.45,91.8,81.9,0.0,22.4,6.5,32.7,9.78,45.9,2.66,4.36,62.61,80.6,79.6,31.4,230592600000.0,59.41
Kepulauan Aru,Maluku,Rentan,10.0,83.8,78.0,0.0,24.2,4.3,31.7,9.43,30.6,34.1,11.36,63.57,50.0,63.9,40.6,230592600000.0,48.33
Maluku Barat Daya,Maluku,Tahan,1.29,101.9,82.7,0.0,28.8,8.1,26.6,9.31,39.7,4.16,5.56,63.39,0.0,82.6,29.9,230592600000.0,56.03
Buru Selatan,Maluku,Rentan,5.16,78.7,61.1,0.0,15.3,5.5,38.9,8.92,36.6,6.53,4.08,66.96,0.0,64.8,35.5,230592600000.0,48.21
Kota Ambon,Maluku,Tahan,10.0,79.4,84.6,0.0,5.3,5.4,24.1,12.0,13.2,0.12,0.09,71.37,80.8,72.7,20.7,230592600000.0,60.55
Kota Tual,Maluku,Rentan,10.0,88.4,79.0,0.0,20.7,5.0,29.3,10.7,12.5,0.63,0.35,66.65,0.0,66.2,32.0,230592600000.0,49.72
Halmahera Barat,Maluku Utara,Tahan,6.03,93.2,78.1,0.0,8.7,6.8,37.4,8.65,42.6,3.44,3.39,66.91,38.8,80.5,26.1,124273800000.0,56.09
Halmahera Tengah,Maluku Utara,Tahan,8.07,81.0,92.6,0.0,11.4,6.0,15.3,9.48,35.6,0.19,3.12,65.06,24.5,70.9,29.5,124273800000.0,55.3
Halmahera Utara,Maluku Utara,Tahan,5.25,82.2,80.4,0.0,4.6,4.6,31.2,8.87,27.7,0.13,2.8,70.11,29.8,77.3,24.3,124273800000.0,59.4
Halmahera Selatan,Maluku Utara,Tahan,10.0,90.4,94.9,0.0,5.7,7.2,30.5,8.41,38.4,6.55,4.27,66.5,23.4,80.7,30.4,124273800000.0,53.73
Kepulauan Sula,Maluku Utara,Rentan,10.0,85.6,45.5,0.0,8.2,4.8,44.4,9.34,47.2,1.63,4.27,63.94,35.5,56.9,18.8,124273800000.0,46.55
Halmahera Timur,Maluku Utara,Tahan,0.88,76.6,81.5,0.0,12.5,4.7,32.3,8.88,36.1,0.91,8.88,69.9,34.5,68.3,19.0,124273800000.0,59.94
Pulau Morotai,Maluku Utara,Tahan,5.8,101.1,112.5,0.0,5.4,4.9,30.6,7.91,34.0,0.0,4.0,68.1,49.0,86.9,11.7,124273800000.0,66.23
Pulau Taliabu,Maluku Utara,Tahan,10.0,96.6,96.8,0.0,7.3,7.5,39.2,8.62,45.1,20.79,5.23,62.79,25.0,75.4,30.6,124273800000.0,51.92
Kota Ternate,Maluku Utara,Tahan,10.0,83.5,94.9,0.0,3.4,5.1,17.9,11.74,6.5,0.0,0.12,71.7,41.6,75.8,21.1,124273800000.0,61.75
Kota Tidore Kepulauan,Maluku Utara,Tahan,8.12,87.3,85.2,0.0,6.4,3.6,26.8,10.17,37.7,0.0,1.44,70.1,47.8,82.8,21.3,124273800000.0,60.41
Jayapura,Papua,Tahan,2.75,108.3,101.2,0.0,11.5,7.9,22.4,9.99,38.7,2.77,13.14,67.78,25.2,90.3,26.9,191650800000.0,64.87
Kepulauan Yapen,Papua,Rentan,10.0,89.5,94.3,0.0,25.9,4.6,35.2,9.16,27.4,18.9,3.34,69.63,19.6,76.9,39.9,191650800000.0,49.35
Biak Numfor,Papua,Rentan,10.0,72.8,83.7,0.0,23.5,4.9,32.6,10.17,39.3,0.06,1.82,68.74,12.4,59.9,33.7,191650800000.0,44.82
Sarmi,Papua,Tahan,3.17,90.2,90.9,0.0,13.2,7.4,43.9,10.03,40.2,5.58,37.92,67.07,25.5,80.5,26.5,191650800000.0,57.28
Keerom,Papua,Rentan,4.13,75.4,48.4,0.0,15.7,5.6,47.9,8.41,75.4,6.7,18.5,67.24,33.5,71.6,34.4,191650800000.0,46.22
Waropen,Papua,Rentan,6.56,83.0,81.2,0.0,29.2,4.5,35.9,8.86,60.0,12.17,35.11,66.92,45.5,65.4,26.2,191650800000.0,48.76
Supiori,Papua,Rentan,10.0,100.3,120.0,0.0,37.0,5.8,28.0,9.27,63.5,25.66,1.64,66.66,27.1,77.2,37.7,191650800000.0,48.51
Mamberamo Raya,Papua,Rentan,7.2,89.3,120.0,0.0,29.6,5.8,48.0,8.59,99.0,6.95,86.82,58.54,0.0,83.2,40.0,191650800000.0,44.96
Kota Jayapura,Papua,Tahan,10.0,94.1,105.0,36.1,10.5,5.3,18.6,11.68,9.5,0.0,0.35,71.07,36.3,80.8,21.3,191650800000.0,64.91
Manokwari,Papua Barat,Tahan,1.96,90.2,72.7,85.6,18.7,8.1,22.6,9.64,43.2,0.0,2.07,69.55,45.2,82.0,24.1,131524200000.0,65.99
Fak Fak,Papua Barat,Rentan,10.0,82.3,89.4,0.0,21.4,3.9,24.3,10.78,50.4,2.65,10.15,69.02,13.6,76.2,30.5,131524200000.0,50.52
Teluk Bintuni,Papua Barat,Tahan,10.0,90.4,97.6,0.0,28.2,6.9,21.5,9.9,43.0,4.55,24.62,61.76,29.7,88.7,19.6,131524200000.0,52.88
Teluk Wondama,Papua Barat,Rentan,10.0,91.1,87.5,0.0,28.9,10.6,28.5,8.44,72.0,13.69,10.8,60.86,36.7,76.2,19.7,131524200000.0,44.62
Kaimana,Papua Barat,Tahan,0.55,87.6,96.5,0.0,14.6,6.9,21.9,9.86,43.8,12.83,24.48,65.62,29.9,84.7,25.7,131524200000.0,63.43
Manokwari Selatan,Papua Barat,Tahan,0.92,88.4,73.6,0.0,27.8,4.9,27.0,8.48,18.3,3.6,5.89,68.09,34.1,82.5,20.4,131524200000.0,60.38
Pegunungan Arfak,Papua Barat,Rentan,10.0,83.8,46.5,0.0,32.3,6.9,48.2,6.35,58.5,35.55,20.75,67.71,0.0,72.2,34.7,131524200000.0,35.03
Merauke,Papua Selatan,Tahan,0.25,94.1,109.1,0.0,10.0,13.0,23.0,10.06,23.6,6.21,32.29,67.6,38.5,85.9,23.8,154735200000.0,65.08
Boven Digoel,Papua Selatan,Rentan,10.0,78.9,79.2,0.0,19.8,11.3,39.1,9.16,39.3,11.35,35.64,60.97,23.5,74.7,31.4,154735200000.0,43.44
Mappi,Papua Selatan,Rentan,7.36,76.7,63.6,0.0,25.7,9.6,48.9,6.96,81.8,20.82,45.27,65.9,27.4,60.2,28.6,154735200000.0,37.16
Asmat,Papua Selatan,Rentan,2.57,81.1,68.5,0.0,24.4,11.3,42.9,6.3,83.7,51.3,40.28,59.19,27.6,69.5,21.3,154735200000.0,44.17
Nabire,Papua Tengah,Tahan,3.21,97.7,79.7,0.0,23.4,4.1,28.1,10.45,21.2,4.12,10.2,68.73,30.5,82.1,22.2,540441600000.0,61.43
Puncak Jaya,Papua Tengah,Rentan,10.0,75.4,66.5,0.0,35.6,3.2,39.4,4.51,88.2,57.88,29.2,65.9,0.0,67.2,42.7,540441600000.0,34.01
Paniai,Papua Tengah,Rentan,10.0,88.3,67.3,0.0,35.4,3.2,59.0,3.97,99.0,40.36,7.96,67.22,0.0,82.2,49.6,540441600000.0,33.25
Mimika,Papua Tengah,Tahan,0.75,84.0,103.4,0.0,13.6,4.1,28.8,9.96,20.6,7.21,9.57,72.83,36.7,77.7,24.7,540441600000.0,65.9
Puncak,Papua Tengah,Rentan,10.0,77.1,28.6,0.0,36.4,2.0,47.3,1.43,21.8,19.1,53.48,66.4,0.0,50.7,36.4,540441600000.0,32.46
Dogiyai,Papua Tengah,Rentan,10.0,80.3,72.5,0.0,29.2,3.9,67.2,4.3,66.7,58.86,12.95,66.39,25.0,79.7,51.1,540441600000.0,36.31
Intan Jaya,Papua Tengah,Rentan,10.0,83.1,60.8,0.0,40.0,3.2,41.3,1.28,92.0,69.89,60.62,66.12,0.0,81.6,65.0,540441600000.0,31.08
Deiyai,Papua Tengah,Rentan,10.0,85.0,70.3,0.0,38.7,3.2,66.8,2.23,92.0,27.85,20.93,65.93,25.0,77.9,50.2,540441600000.0,31.94
Jayawijaya,Papua Pegunungan,Rentan,10.0,85.4,42.9,0.0,34.7,4.6,30.1,6.19,77.2,9.85,3.68,60.5,21.9,73.0,33.2,473009400000.0,38.26
Pegunungan Bintang,Papua Pegunungan,Rentan,10.0,87.8,34.7,0.0,29.8,4.6,25.4,3.52,79.3,70.03,39.4,64.99,1.2,50.7,32.7,473009400000.0,34.13
Yahukimo,Papua Pegunungan,Rentan,10.0,85.5,33.3,0.0,36.1,4.6,56.8,4.13,66.4,49.73,45.09,66.42,0.0,64.4,34.0,473009400000.0,30.95
Tolikara,Papua Pegunungan,Rentan,10.0,107.6,34.2,0.0,31.6,4.6,51.7,2.38,97.1,9.58,10.42,66.33,0.0,61.0,51.6,473009400000.0,30.05
Mamberamo Tengah,Papua Pegunungan,Rentan,10.0,99.0,28.0,0.0,35.4,4.6,26.1,5.0,99.0,14.4,32.55,64.14,36.4,56.8,33.0,473009400000.0,35.49
Yalimo,Papua Pegunungan,Rentan,10.0,104.8,49.7,0.0,31.0,4.6,17.9,6.78,51.0,38.06,17.3,65.95,0.0,70.7,25.7,473009400000.0,44.88
Lanny Jaya,Papua Pegunungan,Rentan,10.0,120.0,28.0,0.0,36.9,4.6,20.1,4.28,99.6,21.3,8.67,66.51,0.0,80.1,39.5,473009400000.0,38.16
Nduga,Papua Pegunungan,Rentan,10.0,84.1,28.0,0.0,37.1,4.6,20.7,4.64,98.2,38.0,26.28,55.72,0.0,53.5,42.4,473009400000.0,30.48
Sorong,Papua Barat Daya,Tahan,5.54,95.0,92.5,0.0,26.9,7.3,29.7,9.07,52.2,0.62,6.37,66.89,18.1,85.4,27.3,122563800000.0,53.21
Sorong Selatan,Papua Barat Daya,Rentan,9.11,84.0,87.2,0.0,18.1,6.2,28.3,8.23,79.8,20.76,10.3,67.01,31.4,64.5,31.3,122563800000.0,46.32
Raja Ampat,Papua Barat Daya,Tahan,4.56,95.0,113.9,0.0,16.8,6.3,33.6,8.55,49.3,5.98,9.53,65.41,13.0,77.7,30.9,122563800000.0,56.84
Tambrauw,Papua Barat Daya,Rentan,9.84,79.9,61.6,0.0,31.2,5.8,34.9,8.33,47.0,5.81,56.66,61.14,37.5,80.7,31.8,122563800000.0,44.1
Maybrat,Papua Barat Daya,Rentan,10.0,78.2,66.4,0.0,30.3,6.3,18.1,9.98,61.0,0.24,15.17,65.82,17.1,69.7,37.8,122563800000.0,42.79
Kota Sorong,Papua Barat Daya,Tahan,10.0,89.0,108.9,0.0,14.4,5.9,17.2,11.63,5.2,0.0,0.17,71.92,25.0,77.7,31.0,122563800000.0,58.97
